name,know_by_name,know_by_bio,know_by_name_description,know_by_bio_link,know_by_bio_summary,know_by_bio_summary_anonymized,know_by_bio_reasoning
朱元璋,yes,,"朱元璋, also known as Zhu Yuanzhang, was the founding emperor of the Ming Dynasty in China, reigning from 1368 to 1398.",,,,
刘邦,yes,,"Liu Bang was the founder and first emperor of the Han Dynasty in China, ruling from 202 BC to 195 BC.",,,,
朱棣,yes,,"朱棣, also known as the Yongle Emperor, was the third emperor of the Ming Dynasty in China, reigning from 1402 to 1424.",,,,
张宗昌,yes,,"Zhang Zongchang was a Chinese warlord during the Warlord Era in the early 20th century, known for his military exploits and eccentric personality.",,,,
段祺瑞,yes,,"Duan Qirui was a Chinese warlord and politician during the early 20th century, serving as the Premier of the Republic of China.",,,,
George Washington,yes,,"George Washington was the first President of the United States, serving from 1789 to 1797, and is known as a Founding Father of the nation.",,,,
Joseph Stalin,yes,,"Joseph Stalin was the leader of the Soviet Union from the mid-1920s until his death in 1953, known for his totalitarian rule and significant role in World War II.",,,,
Otto Von Bismarck,yes,,Otto von Bismarck was a 19th-century Prussian statesman who unified Germany and served as its first Chancellor.,,,,
Grover Cleveland,yes,,"Grover Cleveland was the 22nd and 24th President of the United States, serving in the late 19th century, and is the only president to serve two non-consecutive terms.",,,,
Herry Kissinger,yes,,Henry Kissinger is a prominent American diplomat and political scientist who served as the U.S. Secretary of State and National Security Advisor during the Nixon and Ford administrations in the 1970s.,,,,
王鏊,no,,,,,,
张永,no,,,,,,
谷大用,no,,,,,,
高凤,no,,,,,,
杨一清,no,,,,,,
何皇后,yes,,"He Hou, also known as Empress He, was a Chinese empress during the Eastern Han dynasty, known for her influence and involvement in court politics.",,,,
卢植,yes,,"卢植 (Lu Zhi) was a prominent scholar and official during the late Eastern Han dynasty in China, known for his role as a mentor to several key figures of the Three Kingdoms period.",,,,
龙且,no,,,,,,
项梁,yes,,"Xiang Liang was a Chinese military leader during the late Qin Dynasty, known for leading a rebellion against the Qin and being the uncle of Xiang Yu.",,,,
张耳,no,,,,,,
诸葛瞻,yes,,"Zhuge Zhan was a military general and politician of the state of Shu Han during the Three Kingdoms period of China, known for being the son of the famous strategist Zhuge Liang.",,,,
廖化,yes,,Liao Hua was a military general of the state of Shu Han during the Three Kingdoms period of China.,,,,
鲍信,no,,,,,,
郑泰,no,,,,,,
郑泰,no,,,,,,
丁原,no,,,,,,
李肃,no,,,,,,
陈宫 ,yes,,"Chen Gong was a military strategist and advisor during the late Eastern Han dynasty in China, known for initially serving Cao Cao before defecting to Lü Bu.",,,,
法正,yes,,"Fa Zheng was a strategist and advisor during the Three Kingdoms period in China, serving under the warlord Liu Bei.",,,,
孟达,no,,,,,,
夏侯霸,yes,,"Xiahou Ba was a general of the state of Cao Wei during the Three Kingdoms period of China, who later defected to the rival state of Shu Han.",,,,
侯君集,yes,,"侯君集 (Hou Junji) was a prominent general and politician during the Tang Dynasty in China, known for his role in the early military campaigns and later involvement in a failed coup against Emperor Taizong.",,,,
李大亮,no,,,,,,
张行成,no,,,,,,
商輅,no,,,,,,
刘琨,yes,,"Liu Kun was a Chinese military general and politician during the Jin Dynasty, known for his efforts to defend northern China against the Xiongnu and other nomadic tribes.",,,,
段末波,no,,,,,,
司马荂,no,,,,,,
Leo von Caprivi,yes,,"Leo von Caprivi was a German general and statesman who served as the Chancellor of Germany from 1890 to 1894, succeeding Otto von Bismarck.",,,,
Botho zu Eulenburg,yes,,Botho zu Eulenburg was a German statesman who served as the Minister President of Prussia in the late 19th century.,,,,
Chlodwig Prince of Hohenlohe-Schillingsfürst,yes,,"Chlodwig, Prince of Hohenlohe-Schillingsfürst, was a German statesman who served as Chancellor of Germany from 1894 to 1900.",,,,
James Mill,yes,,"James Mill was a Scottish historian, economist, and philosopher of the early 19th century, known for his influential works on political economy and his role in the development of classical liberalism.",,,,
